상권,상권_전체점포수,상권_평균운영개월구간,상권_전체해지비중,상권_평균_남성 20대이하 고객 비중,상권_평균_남성 30대 고객 비중,상권_평균_남성 40대 고객 비중,상권_평균_남성 50대 고객 비중,상권_평균_남성 60대이상 고객 비중,상권_평균_여성 20대이하 고객 비중,상권_평균_여성 30대 고객 비중,상권_평균_여성 40대 고객 비중,상권_평균_여성 50대 고객 비중,상권_평균_여성 60대이상 고객 비중,상권_평균_재방문 고객 비중,상권_평균_신규 고객 비중,상권_평균_거주 이용 고객 비율,상권_평균_직장 이용 고객 비율,상권_평균_유동인구 이용 고객 비율,상권_평균_배달매출비율,상권_업종다양성,상권_고객다양성,상권_개업률,상권_폐업률,상권_churn비율,상권_매출증감률
신금호,2715,3.369060773480663,9.322094140249758,5.087607081625047,10.416095341036153,11.836966977264256,12.755113678717851,10.78070823704808,5.147465598210958,11.031761535594484,11.667058367499068,11.2046328736489,10.074043906075287,32.93517254174397,8.778920222634508,60.9489134729356,5.674516001580403,33.37783484788621,37.55377276669558,3.2715601563531305,2.3561129466786817,0.0,0.0430939226519337,43093.9226519337,0.038751362519629
압구정로데오,24,4.666666666666667,8.608333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.50588235294117,25.49411764705882,8.823529411764707,17.647058823529413,50.0,0.0,50.0,,0.0,1.0951328186701286,0.0,0.0,0.0,-0.0336134397288336
오남,16,5.4375,11.23125,7.44313125,17.312475,15.4259125,5.252825,3.26779375,8.05686875,18.356275,16.3365875,5.240925,3.31345625,6.495,18.598125,0.2,0.6375000000000001,99.1625,,0.0,2.318118918530085,0.0,0.0,0.0,-0.0689655029726545
옥수,2911,3.389213328753006,8.230883502736512,6.008129407616361,13.7129523977433,11.7342235190409,10.610000669957689,8.740724929478137,6.180763399153737,13.822520098730608,11.41496547954866,9.601564915373766,8.175495098730606,25.14297382198953,9.063410122164049,46.15356871678056,4.695444191343963,49.15178435839028,31.12290196078431,3.270118029596701,2.404103826681401,0.0,0.0164891789762968,16489.178976296804,-0.0066797939461584
왕십리,17551,3.493590108825708,9.568481892892622,9.402110759603683,12.911019746219363,11.442100046352628,13.657626977229272,9.221309548641289,8.040569592676285,10.484783394171156,8.629393220928213,9.280312405121965,6.9317824787067615,24.854442903374945,9.82744278779473,44.51703367478378,10.038698399067655,45.44532908053732,35.12020800231114,3.409287977703125,2.418687423916213,0.0,0.022163979260441,22163.979260441,0.0289735194829851
자양,2262,3.758178603006189,8.808333333333334,12.87890762635379,18.04033862815884,11.88408799638989,9.865893862815884,7.021887319494585,9.814278294223826,12.466204693140794,7.516498646209387,6.0900176895306855,4.421479106498195,32.91891245487365,9.742409747292418,19.03404152583293,28.033510381458232,52.93351038145824,21.75249406175772,3.031432324316007,2.334775561288153,0.0,0.0212201591511936,21220.159151193635,0.0384194163307744
장한평자동차,1158,3.390328151986183,6.433333333333334,7.126558523725835,12.36588172231986,13.899945869947276,15.96426783831283,17.665038664323372,4.766675219683656,6.92076151142355,7.994869595782073,6.930635500878735,6.363520210896309,31.634199475065618,10.35182852143482,17.62957746478873,24.155023474178403,58.21549295774648,22.498371335504885,2.512075292255635,2.330473917990392,0.0,0.0500863557858376,50086.35578583765,-0.0142060007964236
풍산지구,24,5.166666666666667,12.775,8.95695,19.6486125,17.165695833333334,9.562520833333332,3.394766666666667,6.41805,13.8263875,11.4926375,7.087479166666667,2.4469,11.174166666666666,17.227083333333333,0.9,1.9666666666666668,97.13333333333333,,0.0,2.3545837807541763,0.0,0.0,0.0,0.0227272675619845
한양대,7503,3.2944155671064905,10.1850422371104,30.385792685574707,10.87369534536572,5.671019188492333,6.923953697923735,2.7090359343194463,23.830183267743248,7.789629596960239,4.31543957117655,5.450237128511332,2.050986443208034,24.284007556335176,9.304111455943868,34.38530970982143,9.15902622767857,56.45641741071428,22.156134401972874,3.2113163579704875,2.181813206647568,0.0,0.0337198453951752,33719.84539517527,0.0378681523907833
행당,2821,3.584898971995746,9.569385535617185,5.427731059506532,8.753825834542816,12.230603519593611,10.982705696661828,8.410039259796807,6.653622460087083,10.413704499274312,13.6313530478955,12.803960377358491,10.694159687953556,31.4233526850508,9.405050798258346,63.877890625,4.678671875,31.444140625,34.91433857539315,3.2346685157847364,2.3696550468332016,0.0,0.0280042538107054,28004.253810705424,0.0006258397669369
화양시장,137,4.489051094890511,12.904166666666669,17.935676422764228,15.154818699186992,6.560343902439024,7.132689430894309,1.8126463414634144,21.016356097560973,16.979327642276424,6.690062601626017,5.2567414634146346,1.4613373983739837,22.11178861788618,11.72040650406504,8.216666666666667,12.839583333333332,78.94687499999999,42.271186440677965,1.5718304745389344,2.2679794436638883,0.0,0.1751824817518248,175182.48175182485,0.0704787059095411
