가맹점구분번호,상권,업종,risk_score_xgb
0328418F66,성수,백반/가정식,0.04389366
335548947,,,0.003209908
03360C97C5,답십리,호프/맥주,0.015266591
033F56E9A8,왕십리,한식-국밥/설렁탕,0.000394324
035ADB2AA8,장한평자동차,커피전문점,0.05275256
036B3FD49B,성수,커피전문점,0.009479922
037D7CDBAE,옥수,일식당,0.002157638
03803D77FE,한양대,백반/가정식,0.005933392
039869F9F9,성수,일식당,0.040103856
03A222EE9D,한양대,한식-단품요리일반,0.005613836
03A4C45CEB,왕십리,한식-해물/생선,0.000652453
03A581D873,한양대,한식-단품요리일반,0.0029354
03BE2D577F,성수,커피전문점,0.016139034
03C7EBD774,옥수,식료품,0.002079774
03DCE2BB5C,성수,백반/가정식,0.001043446
0400611A92,왕십리,백반/가정식,0.003578682
041B7CBFB0,왕십리,베이커리,0.004339858
04393D7C92,한양대,한식-육류/고기,0.20818678
0487117D58,한양대,카페,0.000606959
0495B069FF,마장동,식료품,0.007403602
04A4FBD34D,뚝섬,한식-단품요리일반,0.00880395
04BACBFB49,금남시장,백반/가정식,0.008137558
04F03995B9,성수,한식-육류/고기,0.08030351
050581F0EE,성수,요리주점,0.007168854
0507C6C859,신금호,샌드위치/토스트,0.48975787
050A4E0A6D,성수,한식-찌개/전골,0.006308103
051EE5224E,한양대,호프/맥주,0.005781787
052D57B40B,행당,피자,0.002629003
052FDFE33E,왕십리,샌드위치/토스트,0.01731028
05354D332D,왕십리,한식-단품요리일반,0.001378359
053AF8AE28,왕십리,한식-국수/만두,0.003875188
055544325C,금남시장,베이커리,0.00584145
055A2785B9,옥수,커피전문점,0.000240413
055EDDDD01,뚝섬,한식-단품요리일반,0.000250947
056644D0B0,장한평자동차,백반/가정식,0.011749034
0576F5F42A,왕십리,식료품,0.003708593
05870C6994,마장동,백반/가정식,0.015039238
05992E2BE5,옥수,중식당,0.001046975
059A6DEC9E,왕십리,백반/가정식,0.015205863
05D0F780F0,성수,백반/가정식,0.001453969
05D686D94E,왕십리,식료품,0.000242038
05EE42C739,뚝섬,카페,0.015783502
05FEB1D6F5,성수,한식-해물/생선,0.00086755
0616E5FFD3,금남시장,양식,0.007348198
0624A8697D,마장동,축산물,0.001335305
06283FED4E,뚝섬,요리주점,0.006370741
064F68DA7E,옥수,백반/가정식,0.00096862
0667DA4B74,행당,양식,0.014956715
066E49F118,왕십리,인삼제품,0.003200283
068FABCF18,왕십리,요리주점,0.001513166
06A87DAA45,뚝섬,카페,0.000166883
06C463E9D9,마장동,식료품,0.000324273
06EB542919,옥수,떡/한과 제조,0.001521725
07048B6141,마장동,백반/가정식,0.000600663
072ED18558,왕십리,분식,0.035530023
0732DD7F6A,한양대,한식-육류/고기,0.059681308
0773FAF52A,행당,한식-국밥/설렁탕,8.13E-05
0780CB40AB,왕십리,치킨,0.002447255
078E739D39,금남시장,포장마차,0.001552571
07C53B9164,성수,주류,0.004374085
07D4C06897,마장동,축산물,0.005957693
07E06697D9,왕십리,꼬치구이,0.031487517
07E426EE6F,옥수,한식-단품요리일반,0.003040391
07F3A46C54,한양대,중식-훠궈/마라탕,0.010010508
0806C51324,왕십리,베이커리,0.00092656
08108678CB,마장동,축산물,0.011156227
0815A0998B,한양대,한식-해물/생선,0.00423338
082F14367D,신금호,중식당,0.000965553
08336C3B85,성수,한식-단품요리일반,0.27229914
0840AC0A17,금남시장,백반/가정식,0.000176572
085F6E716F,성수,커피전문점,0.039489493
0866C50DAD,마장동,축산물,0.025842674
086AA2377D,옥수,분식,3.19E-05
08810E1846,신금호,치킨,0.11800913
088BBA709D,성수,한식-국밥/설렁탕,0.011091077
08A6BC229A,성수,한식-육류/고기,0.016234271
08A8D396B4,성수,카페,0.027612027
08AFA3AAA2,왕십리,일반 유흥주점,0.024908043
08BFC4265D,성수,베이커리,0.010756264
08D893CAA8,신금호,카페,0.08319549
0904E1A37E,행당,청과물,0.0016379
090DD25F79,답십리,중식당,0.011299048
091DB36DAA,왕십리,중식당,0.00409438
092717B584,뚝섬,한식-해물/생선,0.006769479
093D848452,옥수,일식-우동/소바/라면,0.001252168
09544ED347,성수,포장마차,0.00033159
095A791091,성수,한식-단품요리일반,0.00211889
0961D33241,왕십리,카페,0.008275769
097459D735,왕십리,한식-육류/고기,0.018763231
09801BCCB5,성수,백반/가정식,0.014936207
09805F8B6F,왕십리,한식-단품요리일반,0.07474562
098A971F35,성수,한식-해물/생선,0.005999178
098BA50B44,뚝섬,백반/가정식,0.003908241
098CE4D65F,신금호,포장마차,0.00257191
099CBF2425,왕십리,한식-단품요리일반,0.25654355
099CE5DB1F,한양대,한식-육류/고기,0.053926528
09A3BB12CC,성수,베이커리,0.036086813
09A5C8DB83,뚝섬,카페,0.002723817
09B5A19D91,금남시장,와인바,0.7949746
09D2771DD5,마장동,축산물,0.035627563
09F834CF4D,왕십리,한식-육류/고기,0.001920999
0A043079E8,한양대,한식-육류/고기,0.00168711
0A11294210,성수,분식,0.014539556
0A14F6BC71,마장동,백반/가정식,0.006835107
0A1F11604A,뚝섬,양식,0.012289396
0A21C8B332,한양대,일식당,0.004989816
0A249AE8F1,왕십리,요리주점,0.000698375
0A4491652C,뚝섬,양식,0.012029563
0A6388B8A5,성수,피자,0.012226587
0A969D0884,신금호,일식당,0.009136881
0AA044D334,옥수,베이커리,0.001664391
0AAC5CC72A,왕십리,수산물,0.004696058
0ACB1E7718,성수,한식뷔페,0.002202313
0ACB344C1B,뚝섬,베이커리,0.22145437
0AD65F48B1,행당,햄버거,0.07030839
0AD9FBF8D6,금남시장,카페,0.007729502
0AE494A908,옥수,농산물,3.71E-05
0AF7BD60A5,답십리,카페,0.01075664
0AFA56720B,장한평자동차,백반/가정식,0.00788005
0B01EED5DC,마장동,축산물,0.000378935
0B08F64E3F,성수,요리주점,0.049747474
0B0F5967E0,뚝섬,백반/가정식,0.031244365
0B209E8E8B,장한평자동차,치킨,0.000664867
0B20C4C788,성수,치킨,0.009162716
0B2BB3D26D,왕십리,룸살롱/단란주점,0.000204354
0B36DDFB1B,왕십리,이자카야,0.006214822
0B4FFAC06D,금남시장,한식-육류/고기,0.002877482
0B575BF47C,장한평자동차,한식-육류/고기,0.001376184
0B5B2332CF,신금호,한식-해물/생선,0.002536083
0B5E2CA162,성수,백반/가정식,0.008944056
0B68902965,왕십리,피자,0.02092695
0B6A827588,행당,아이스크림/빙수,0.010818224
0B91BA490B,성수,백반/가정식,0.022860812
0BAEC93CDE,왕십리,일식당,0.003526307
0BD65CD437,한양대,호프/맥주,0.021986322
0BD77C00B4,성수,식료품,0.000138409
0BE7C060B5,성수,중식당,0.022668127
0BE8ACB0EC,행당,피자,0.001812937
0BEDDE7AF8,왕십리,한식-단품요리일반,0.1254941
0BF9751673,한양대,한식-단품요리일반,0.002723078
0BFA50A379,뚝섬,포장마차,0.16958635
0C02E54954,왕십리,커피전문점,0.010241784
0C074FD60A,성수,카페,0.008133009
0C1B547B6E,성수,커피전문점,0.006697071
0C25C3B746,성수,샌드위치/토스트,0.004706324
0C290BC270,뚝섬,민속주점,0.002563564
0C52600659,금남시장,건강원,2.47E-05
0C579C8DE3,성수,한식뷔페,0.011067264
0C5EE2823A,금남시장,농산물,0.011635155
0C67B8EDCF,한양대,일식-우동/소바/라면,0.000632843
0C71B9E39A,뚝섬,한식-찌개/전골,0.01533163
0C73E5FAC6,왕십리,인삼제품,0.001615019
0C8815C811,마장동,한식-육류/고기,0.00117753
0C8BE8ECAD,뚝섬,카페,0.011852422
0C9C887E27,뚝섬,커피전문점,0.004338902
0CB94CB82A,성수,커피전문점,0.011668811
0CC58A24DF,성수,베이커리,0.002742774
0CCC996EB3,옥수,카페,0.00165678
0CD2370AA8,성수,치킨,0.02419802
0CF1A5859F,왕십리,농산물,0.000974431
0CF7026A60,성수,일식-덮밥/돈가스,0.006983651
0D2FB82EB4,답십리,한식-육류/고기,0.000236034
0D30BE35C0,금남시장,한식-육류/고기,0.02914246
0D5913A247,마장동,한식-육류/고기,0.000604596
0D76004886,신금호,치킨,0.002205296
0D87E5D527,성수,햄버거,0.00607756
0D98347CAA,옥수,일식당,0.003099792
0DA8A07267,성수,인삼제품,0.004458426
0DABCC3BB8,금남시장,백반/가정식,0.004139131
0DBD011FE1,마장동,축산물,0.000321435
0DE3499749,옥수,카페,0.002160149
0DF01FA34B,왕십리,한식-육류/고기,0.007185456
0E0486902E,성수,한식-단품요리일반,0.020877328
0E15C8A398,성수,한식-단품요리일반,0.03573713
0E1F126D2B,성수,양식,0.008797577
0E2AE2C4F1,한양대,백반/가정식,0.006311218
0E33FFCD65,행당,분식,0.008140202
0E46A72EBB,금남시장,한식-단품요리일반,0.003074993
0E47B24887,금남시장,카페,0.022912076
0E559E84F4,한양대,한식-육류/고기,0.03786813
0E5900ADFC,성수,호프/맥주,0.003372898
0E614A7B1A,성수,카페,0.008532983
0E7F1F5130,한양대,카페,0.004353531
0E8F0CC5D8,신금호,한식-단품요리일반,0.014962102
0E8F0F8410,마장동,축산물,0.000125403
0EC92894F0,금남시장,아이스크림/빙수,0.040727124
0EE4BD7D7A,성수,카페,0.076573186
0EED6D3006,성수,백반/가정식,0.007529344
0F0676C7F0,뚝섬,농산물,0.041960187
0F17B95A3C,왕십리,일식당,0.004221884
0F236D513F,뚝섬,햄버거,0.003021768
0F62D2C2CF,성수,한식-육류/고기,0.002853127
0F646F50F7,뚝섬,카페,0.012433688
0F6B536D3D,성수,양식,0.027634755
0FA542A8DB,장한평자동차,카페,0.11925349
0FAD4CAABE,성수,카페,0.008771677
0FDB111E34,성수,한식-단품요리일반,0.027306058
1023E7B792,한양대,요리주점,0.06863701
1025481D02,성수,담배,0.016378101
102BD17A37,성수,요리주점,0.004891418
10320FAE94,성수,양식,0.031764526
103335BDCE,한양대,한식-냉면,0.01655063
103A5AE48B,성수,베이커리,0.027397212
104031A6C2,마장동,축산물,0.12616535
105CC28499,답십리,한식-육류/고기,0.007082958
107D13BB20,왕십리,분식,0.02486863
108EC801B1,성수,한식-감자탕,0.006992956
1095E71AA8,마장동,축산물,0.003953503
109684EF6A,신금호,양식,0.002937763
10BD656C9F,금남시장,치킨,0.013663569
10BF2110CC,성수,커피전문점,0.038366776
10D9319CCB,왕십리,카페,0.000238091
10E976D7AB,왕십리,식품 제조,0.110160425
10ED44611E,성수,피자,0.003031208
10FA1CC7BC,성수,백반/가정식,0.003358705
1109D8FCC5,마장동,축산물,0.002411308
1112ACEF8D,성수,건강원,0.018578794
11191365FD,금남시장,카페,0.019109055
112C9E0C52,마장동,백반/가정식,0.000797061
115B45FBBE,뚝섬,백반/가정식,0.001242946
1164A7B9D5,성수,햄버거,0.015212691
1166DE00E7,성수,와인바,0.003975309
1184FDF48F,한양대,축산물,0.03168948
119075288D,뚝섬,한식-육류/고기,0.000164582
11917ED05B,금남시장,한식-찌개/전골,0.000339395
119F4FB3E3,성수,한식-국밥/설렁탕,0.005662077
11A66B8033,한양대,한식-육류/고기,0.073658206
11B0AA1C3B,왕십리,한식-단품요리일반,0.001165965
11B32F0E92,성수,호프/맥주,0.006855183
11BFFCBE83,뚝섬,아이스크림/빙수,0.001308965
11C88CAEC4,성수,양식,0.007353908
11DA529896,왕십리,백반/가정식,0.002916188
11E4EE3E27,성수,한식-단품요리일반,0.060263403
120283327E,행당,카페,0.002229694
123EF86057,왕십리,호프/맥주,0.001513848
125C6AE5AF,뚝섬,베이커리,0.032491688
1290AD294E,성수,아이스크림/빙수,0.02137182
129842CE2F,뚝섬,백반/가정식,0.015219299
129DB16365,성수,샌드위치/토스트,0.005426238
12A28908F1,왕십리,카페,0.114272736
12C9656088,성수,양식,0.005083801
12E063A8BA,한양대,중식당,0.003773805
12E149DC7F,뚝섬,일식-덮밥/돈가스,0.023144942
12E8C996B1,성수,한식-국밥/설렁탕,0.000638565
12F2E42AEC,성수,일식당,0.04934771
132078A4FE,성수,커피전문점,0.013471304
132DD33068,금남시장,분식,0.00209077
132EC808F2,왕십리,한식-육류/고기,0.09332495
133FADDC35,왕십리,커피전문점,0.000477319
134895DA5B,성수,베이커리,0.03758035
1361C9B25C,신금호,분식,0.005565439
1389DE67CE,금남시장,카페,0.018665794
13920AE06B,신금호,한식-육류/고기,0.004122668
1395C1AB53,답십리,이자카야,0.000404447
139B280BA1,성수,백반/가정식,0.11353306
139D3C21E3,한양대,식료품,0.043308683
13A08DED0C,성수,백반/가정식,0.035000343
13B170C44E,한양대,백반/가정식,0.026765045
13BB3CF1BB,신금호,백반/가정식,0.001722362
13C3C13D99,답십리,커피전문점,0.000139719
13CF34E13D,한양대,백반/가정식,0.018327799
13D9737A1D,왕십리,차,0.030066006
13DF93045E,성수,한식-육류/고기,0.032461274
13F02B91F6,한양대,카페,0.023308005
13F380E465,한양대,양식,0.010359388
1400634946,마장동,중식당,0.004168171
142D8C5954,뚝섬,양식,0.007213044
14575F7112,옥수,치킨,0.00065249
145A1666B3,왕십리,한식-육류/고기,0.020596657
145BA84596,한양대,한식-찌개/전골,0.010225484
147235F3A5,옥수,일식-덮밥/돈가스,0.000137065
147EC9E665,성수,식료품,0.001398712
149775709C,뚝섬,한식-육류/고기,0.084960595
149A2FAFF2,뚝섬,양식,0.01582577
149BA1B7C7,한양대,샌드위치/토스트,0.000990963
149F54EBF0,한양대,중식당,0.04268519
14AAC1149B,마장동,축산물,0.001563157
14AAED5A5C,마장동,축산물,0.002510998
14B24AF78E,금남시장,햄버거,0.0141468
14DA1400F7,왕십리,건강식품,0.001803304
14DC63223D,뚝섬,식료품,0.00217398
14FE0A442F,행당,떡/한과 제조,0.007848371
150889572A,뚝섬,베이커리,0.071327485
15136D3E9D,왕십리,백반/가정식,0.001425517
151654BA1D,성수,한식-해물/생선,0.00173732
151C15F277,한양대,한식-육류/고기,0.007516672
1521FF7269,왕십리,한식-해물/생선,0.6105878
1527B8DFD5,신금호,치킨,0.002492357
15312BD018,왕십리,한식-육류/고기,0.036413826
153D5AC634,왕십리,기타세계요리,0.003552521
15418FA4F2,왕십리,한식-육류/고기,0.009705671
1545D071D9,행당,한식뷔페,0.006575945
15460DF7A9,왕십리,일반 유흥주점,0.000814664
15467D0BEC,성수,백반/가정식,0.013234107
155590DFC1,왕십리,축산물,0.021340836
155685F58E,성수,일식-초밥/롤,0.004901011
1581AAB9F5,한양대,식료품,0.006199344
158A1920D0,신금호,카페,0.10353595
158EC80184,왕십리,축산물,0.042633574
15B7F02740,옥수,카페,0.001329302
15CFCB9040,성수,카페,0.005673286
15E95AF364,왕십리,피자,0.001096363
15EE2AE836,금남시장,담배,0.046313398
160DDA26E5,금남시장,백반/가정식,0.011022944
161833AB04,한양대,치킨,0.030332442
16184E93D9,마장동,축산물,0.001266495
161867AF15,뚝섬,베이커리,0.2595861
162B21238D,마장동,축산물,0.001933451
162D2613BC,답십리,한식-육류/고기,0.015697503
166A58D2FD,신금호,아이스크림/빙수,0.00887323
167123A24F,왕십리,치킨,0.009095101
1673EFE7A4,왕십리,한식-찌개/전골,0.001283463
1674C40960,왕십리,한식-육류/고기,0.001952508
1676020CB1,뚝섬,카페,0.013096917
1676AF58A8,행당,한식-육류/고기,0.000438194
1678DC823A,왕십리,요리주점,0.002859884
167F268F8E,왕십리,카페,0.006413024
169ABB9060,성수,한식-육류/고기,0.001098333
16B18D234B,왕십리,일반 유흥주점,0.000612896
16B4B1BB89,금남시장,한식-육류/고기,0.003049676
16C1722BC0,금남시장,양식,0.00292815
16CBDF3A48,뚝섬,백반/가정식,0.002430464
16E393FC45,왕십리,한식-육류/고기,0.013072378
16F5C2A5B3,성수,커피전문점,0.000638262
16FA1843AE,성수,카페,0.010834437
16FF61FF49,마장동,축산물,0.000164314
170B8F1903,뚝섬,중식당,0.006517415
1.71E+17,,,0.003209908
17251C4F10,성수,한식-단품요리일반,0.02336782
17725DC7CA,신금호,떡/한과 제조,0.004002887
1777C724B3,왕십리,치킨,0.001341541
1786026A63,왕십리,백반/가정식,0.020858558
178A3B9A58,행당,농산물,0.20448805
17979A7FB4,성수,한식-국밥/설렁탕,0.003105331
17B4A44FAF,한양대,백반/가정식,0.001124775
17B71ACAEE,한양대,한식-육류/고기,0.003272766
17DAB44CD4,성수,한식-해물/생선,0.007152061
17FCA23DD7,왕십리,카페,0.007986158
17FF425166,신금호,한식-해물/생선,0.0021297
180F6A644D,성수,커피전문점,0.029748896
18139EA68D,뚝섬,커피전문점,0.001324637
18185E33A8,금남시장,건강식품,7.01E-05
1829BF330D,금남시장,반찬,0.009845685
182C5D1799,성수,한식-단품요리일반,0.021944854
186BEE7C30,왕십리,양식,0.011831749
186E12F013,마장동,축산물,0.001830489
187D17CE25,성수,베이커리,0.012035696
18822DD6FB,금남시장,건강식품,0.00397104
1890D657AD,마장동,축산물,0.001321942
18A1E81F1B,성수,양식,0.016558416
18AE11C714,금남시장,한식-육류/고기,0.0289876
18FC952F28,한양대,카페,0.000941428
1900B33A12,마장동,한식-냉면,0.000590607
19325B3A29,옥수,햄버거,9.48E-05
1938F6377B,뚝섬,양식,0.000150382
1958977F7D,마장동,한식-육류/고기,0.007196496
197C457DEF,성수,커피전문점,0.009403612
19AB11C6B4,한양대,피자,0.025865756
19BD32B8E8,성수,베이커리,0.005577031
19C9B789DA,성수,양식,0.025886718
19D3456A64,답십리,일식당,0.017918108
19DC3A560D,옥수,식품 제조,0.7438659
19DDC941DD,왕십리,한식-육류/고기,0.001716903
19FD619523,성수,카페,0.013192481
1A011579F7,성수,베이커리,0.039214227
1A018DCAD1,뚝섬,도시락,0.000997178
1A185BC72B,답십리,한식-해물/생선,0.000375035
1A1EC4B50C,왕십리,호프/맥주,0.004045521
1A7712195D,성수,한식-육류/고기,0.08092698
1A8BA43A9D,뚝섬,양식,0.021465333
1A8C2D30CA,한양대,한식-단품요리일반,0.000163768
1A95814825,신금호,일식당,0.015662892
1A9644F28E,왕십리,백반/가정식,0.000179068
1AA954C0A3,금남시장,백반/가정식,0.00090314
1AB3F0C3B0,금남시장,백반/가정식,0.02536524
1ABAFAF53E,왕십리,치킨,0.031407945
1AC1527C9A,뚝섬,베이커리,0.12064832
1AC8580FC6,왕십리,치킨,0.00617392
1ACDF59A1A,행당,베이커리,0.002356883
1ADFDEE86A,왕십리,치킨,0.009759205
1AE0F9961C,왕십리,커피전문점,0.034871563
1AEC503D19,한양대,치킨,0.000705563
1AF84D2DC1,왕십리,카페,0.030424725
1AFD192CB4,성수,백반/가정식,0.002243411
1B0AE78A30,뚝섬,베이커리,0.000230109
1B10962D6B,왕십리,한식-육류/고기,0.010400008
1B13E9E623,금남시장,양식,0.001064919
1B1710772B,옥수,베이커리,0.000276777
1B2F00A1CC,왕십리,중식당,0.013598151
1B4D60A004,왕십리,식료품,0.007276077
1B554AAC24,답십리,한식-냉면,0.09786093
1B5F85BD96,뚝섬,일식당,0.001144772
1B8A35EA99,금남시장,양식,0.007324938
1BB00863B9,금남시장,농산물,0.000281452
1BC191ACDA,금남시장,동남아/인도음식,7.44E-05
1BC90B10EC,한양대,한식-육류/고기,0.000410233
1BCD8AC994,왕십리,카페,0.00462869
1BE17A9B6B,성수,베이커리,0.004932246
1BE8E3CE79,성수,일반 유흥주점,0.011761564
1C0AE3E10C,뚝섬,카페,0.007396167
1C0E3D3E9C,왕십리,분식,0.000838268
1C1F73D604,성수,양식,0.006665246
1C3EE116AE,왕십리,룸살롱/단란주점,0.003724689
1C4665B740,뚝섬,한식-육류/고기,0.00249998
1C55BF6FB8,성수,치킨,0.004937383
1C69DD5AFC,성수,커피전문점,0.039956965
1C7B1712C9,왕십리,한식-단품요리일반,0.002218821
1C943E0E39,왕십리,축산물,0.09767572
1C9BB3C08A,성수,한식-육류/고기,0.003866439
1CA14FB122,옥수,한식-해물/생선,0.003968543
1CA7D76A49,뚝섬,식료품,8.75E-05
1CAA6D7F95,한양대,양식,0.06787271
1CB111F32B,답십리,농산물,0.02689164
1CC86C2EB2,성수,카페,0.002645033
1CCF1F16FD,왕십리,커피전문점,0.008341271
1CE1551AF3,뚝섬,와인바,0.010438139
1CEA3BFC5B,성수,한식-단품요리일반,0.042996343
1CFE4CFBFB,성수,양식,0.011515962
1D20FA334E,금남시장,요리주점,7.68E-05
1D3FAC9886,성수,요리주점,0.01115508
1D47B2E51D,왕십리,한식-육류/고기,0.006743475
1D76CBF64B,뚝섬,양식,0.003265468
1D97BD1F6F,뚝섬,한식-단품요리일반,0.007397113
1D9B20B1B9,옥수,커피전문점,0.000200448
1DBC834628,뚝섬,커피전문점,0.003345081
1DDB44FF35,성수,카페,0.013693258
1DE2A5E40D,성수,동남아/인도음식,0.01430354
1DEEB5568D,성수,한정식,0.027198896
1DF52E7C5F,답십리,아이스크림/빙수,0.047263473
1DFD18A8D0,성수,치킨,0.009179579
1E00B3CC15,답십리,한식-단품요리일반,0.42917016
1E0C8CD39A,금남시장,한식-단품요리일반,0.19313198
1E10EECF86,마장동,축산물,0.004341745
1E49E0A26C,성수,한식-육류/고기,0.028077157
1E4D38A262,한양대,치킨,0.001653243
1E6037D02E,한양대,분식,0.057375003
1E6E98E3FB,성수,샌드위치/토스트,0.009523875
1E745D32BC,성수,중식당,0.006481612
1E7A13BB3E,신금호,청과물,0.0169132
1E8F8916F6,성수,카페,0.008587787
1E9761FB09,왕십리,한식-단품요리일반,0.008824575
1EADD2188F,성수,와인바,0.020803733
1EAFF3E9E0,장한평자동차,한식-육류/고기,0.000658274
1EC413BB05,마장동,축산물,0.000498285
1EC6CCBA67,한양대,한식-단품요리일반,0.1458677
1ECD387AAF,행당,식료품,0.000280029
1ED630331D,왕십리,한식-육류/고기,0.057642404
1EE63C2F5D,왕십리,호프/맥주,0.000996869
1F01798D03,뚝섬,분식,0.02025348
1F0239CF1F,왕십리,건강식품,0.000593119
1F08E8119D,행당,청과물,0.012645913
1F0AADBBB8,뚝섬,일식-샤브샤브,0.007182622
1F0AAE3EBE,뚝섬,일식-덮밥/돈가스,0.004487756
1F2F62794C,왕십리,한식-국수/만두,0.005902792
1F369B9364,성수,백반/가정식,0.21225534
1F4203EA83,행당,카페,0.0034081
1F43B61BB2,한양대,호프/맥주,0.07150546
1F514EF208,성수,일식당,0.015303897
1F59865E54,뚝섬,한식-국수/만두,0.001127608
1F5C564B04,뚝섬,반찬,0.014319111
1F75656163,뚝섬,한식-국밥/설렁탕,0.004011411
1F7D63C933,뚝섬,이자카야,0.004632101
1F7ECE7D49,왕십리,한식-단품요리일반,0.032070298
1F803A0080,성수,백반/가정식,0.001544861
1F8450ED67,마장동,축산물,0.04105381
1F9B203919,성수,양식,0.030878386
1FAF18BB8F,왕십리,커피전문점,0.001753863
1FD34CB47A,마장동,축산물,0.001480999
1FE0562759,왕십리,베이커리,7.98E-05
1FF980E1D6,왕십리,요리주점,0.005091758
20186EA812,왕십리,샌드위치/토스트,0.001579992
201D6EE851,왕십리,한식-육류/고기,0.010184391
202266AAE4,성수,한식-단품요리일반,0.78685504
202F736EBC,장한평자동차,백반/가정식,0.011797289
203E53DC61,뚝섬,백반/가정식,0.010663331
203FCB7DD9,왕십리,샌드위치/토스트,0.3331544
203FEED90F,뚝섬,한식-단품요리일반,0.02191771
20540DA43D,행당,베이커리,0.004801812
208B37B8E4,성수,백반/가정식,0.001653956
209ED3E24F,한양대,한식-단품요리일반,0.013257234
20A41DB343,뚝섬,일식당,0.004731664
20AFB06A43,답십리,한식-단품요리일반,0.000847669
20B0361789,왕십리,한식-국밥/설렁탕,0.00346026
20B38FBA58,뚝섬,양식,0.010444766
20B4D65D66,성수,베이커리,0.016553836
20B5CCDB99,마장동,축산물,0.005226984
20BEAD80DD,성수,한식-단품요리일반,0.040733673
20BF89EDFA,왕십리,한식-해물/생선,0.002845501
20CD5C4AB7,성수,카페,0.009258635
20E4760A74,답십리,백반/가정식,0.009136301
20EEE2EE86,성수,분식,0.007290793
20EF59F929,성수,한식-단품요리일반,0.015111839
21348D6015,신금호,카페,0.036328398
21373CB273,뚝섬,카페,0.017006166
2143174547,답십리,카페,0.014898174
216431492C,마장동,한식-육류/고기,0.002224451
216590EA3B,왕십리,백반/가정식,0.003877164
21752D89FB,행당,건강식품,0.002938525
21A130787D,왕십리,카페,0.005495453
21B52E1F0F,한양대,카페,0.002473931
21B58D4396,한양대,식료품,0.002309371
21BA47CF6E,왕십리,한식-국밥/설렁탕,0.014297651
21C4BDD140,마장동,한식-국밥/설렁탕,0.01255191
21ED3E83CA,왕십리,식료품,0.001989264
222AB6560E,왕십리,일식당,0.000731242
22323DD09C,한양대,일식당,0.010258048
22472FE723,뚝섬,한식-국수/만두,0.009051893
224AE94A24,뚝섬,백반/가정식,0.025625758
224FBAD80C,성수,베이커리,0.013977374
2257171AD9,성수,한식-국밥/설렁탕,0.005753713
225DC4C12C,성수,카페,0.003934521
2265D9F8B3,마장동,한식-육류/고기,0.000587686
228EDD81BA,답십리,한식-국수/만두,0.017621022
229E67841F,뚝섬,한식-해물/생선,0.007625658
