가맹점구분번호,가맹점명,가맹점주소,가맹점지역,브랜드구분코드,업종,상권,개설일,폐업일,comp_intensity,market_churn_rate_4w,same_industry_sales_ratio,customer_fit_score,avg_survival_months,Δsales_4w,sales_volatility_4w,risk_score_xgb,pc1_x,pc2_y,cluster_id,n_clusters
BAACCE3A2C,좋은**,서울 성동구 용답동,서울 성동구,,식료품,장한평자동차,20130305,,-0.970569042,-0.0392156863,1.112903226,28.21132912,652.4686275,-0.042302106,0.0180953167,9.83e-05,-1.3372743203853426,-0.2724954732126163,Cluster 2,36.0
BE3EAEA415,별난**,서울 성동구 용답동,서울 성동구,,한식-국수/만두,답십리,20140107,,-0.229415734,-0.0354609929,1.614906832,13.39975008,655.0184397,-0.027293338,0.0171074869,0.016888402,-2.2374158459652,-0.071992038390429,Cluster 1,9.0
01AAD3CFFA,행당**,서울 성동구 행당동,서울 성동구,,식료품,왕십리,20160513,,1.069708435,-0.025682183,1.088631985,22.67465686,661.6592295,-0.0280551262,0.0143118193,0.0037992387,0.7144445296700925,-0.316805181604375,Cluster 1,122.0
C3E6D8B14F,이혜*******,서울 성동구 행당동,서울 성동구,,인삼제품,행당,20131216,,-0.136082763,-0.0331125828,1.1,52.13251181,656.613245,-0.0132450331,0.00878111618,0.0015094114,-1.1584677116002218,0.692840716394219,Cluster 1,7.0
E606947836,정*,서울 성동구 홍익동,서울 성동구,,중식당,왕십리,20150918,,0.862461636,-0.0167664671,1.983471074,19.70342321,667.7138922,0.00163675391,0.00629632224,0.0069256257,1.3967067962826163,-0.1675687847335911,Cluster 1,85.0
E863289A7D,조은**,서울 성동구 홍익동,서울 성동구,,한식-단품요리일반,왕십리,20150116,,1.244493203,-0.0185643564,1.013100437,6.954159147,666.4929455,0.0147240957,0.0127372935,0.0063229455,1.569009735124131,-0.9915378302410028,Cluster 1,242.0
B584924DB0,왕십****,서울 성동구 행당1동,서울 성동구,,식품 제조,왕십리,20140828,,-0.0729324957,-0.0167664671,1.010638298,29.8184147,667.7138922,0.00163675391,0.00629632224,0.34619078,2.231256042280468,-0.5508378156345897,Cluster 1,19.0
2344622681,광한******,서울  성동구  도선동,서울 성동구,,한식-해물/생선,왕십리,20110502,,1.716790151,-0.0217948718,0.976744186,19.39255977,664.2991026,0.00705030785,0.00488688522,0.004433435,1.4423751866501366,-0.1155822797564705,Cluster 2,104.0
3E35A71757,멕시*****,서울  성동구  마장동,서울 성동구,치킨19,치킨,마장동,20050830,,-0.685085019,-0.0138888889,1.366396761,14.60579886,669.6680556,0.111464236,0.0617510737,0.037583746,0.930274396111405,3.45875786207103,Cluster 1,113.0
5017C6924A,도미********,서울  성동구  마장동,서울 성동구,피자2,피자,마장동,20100723,,-0.72829566,-0.0181818182,0.552941176,11.48501538,666.7527273,-0.0231057798,0.0578019932,0.00017219302,1.096029490485234,-1.3615825859917172,Cluster 1,42.0
888828B4FB,현대**,서울  성동구  마장동,서울 성동구,,식료품,마장동,20070420,,0.115821562,-0.025,0.655234657,17.80172052,662.1225,0.00257824284,0.00734334113,0.0025553387,0.4518530182575196,-1.3454467873035356,Cluster 1,122.0
06C463E9D9,청계**,서울  성동구  마장동,서울 성동구,,식료품,마장동,20070704,,0.115821562,-0.025,1.092057762,84.68954408,662.1225,0.00257824284,0.00734334113,0.0003242729,0.7669340185449549,1.3631686884341367,Cluster 1,122.0
5AEEA3B4EF,한양**,서울  성동구  마장동,서울 성동구,,식료품,마장동,20101008,,0.0831171635,-0.0216049383,1.129326047,46.04063995,664.4280864,-0.12568306,0.0651962926,0.0010667234,1.3716647144183978,-0.3539748082218802,Cluster 1,122.0
1400634946,한일**,서울  성동구  마장동,서울 성동구,,중식당,마장동,20040728,,-0.745586147,-0.0257234727,1.607843137,17.05647248,661.6311897,0.0137618579,0.0590504972,0.0041681714,-0.6315835491090479,-2.025565168844244,Cluster 1,85.0
3E61C339E2,세화**,서울  성동구  마장동,서울 성동구,,축산물,마장동,20020924,,2.99480189,-0.018018018,0.242565056,25.42414207,666.863964,-0.00158029094,0.0164788168,0.00924116,-0.050035691428229,-1.494482271942725,Cluster 2,154.0
B81D338DB6,대성**,서울  성동구  마장동,서울 성동구,축산물2,축산물,마장동,20030819,,2.99531246,-0.0185185185,1.395604396,22.55523944,666.5240741,0.137205387,0.0636351897,0.033909917,0.6502193472300488,0.6774062365488256,Cluster 2,154.0
8941E2A3A0,광*,서울  성동구  마장동,서울 성동구,,축산물,마장동,20090304,,2.993892226,-0.0139275766,1.621621622,19.36418109,669.6417827,-0.104116373,0.0621861056,0.0037113375,2.0478365009669464,-0.2437676812620339,Cluster 2,154.0
D5CFCB32BA,희망**,서울  성동구  마장동,서울 성동구,,축산물,마장동,20110720,,2.995200442,-0.0142857143,1.343724364,64.04368408,669.3985714,0.0358813126,0.0202143023,0.0013723059,1.443946507235931,1.1183726378325505,Cluster 2,154.0
319880C87E,한일**,서울  성동구  마장동,서울 성동구,,축산물,마장동,20120312,,2.995790557,-0.0257234727,1.156429942,17.57871854,661.6311897,0.0137618579,0.0590504972,0.01209172,-0.5308756693606738,0.2831649496425458,Cluster 1,131.0
A6277E8E47,세계**,서울  성동구  마장동,서울 성동구,,축산물,마장동,20120911,,2.994925922,-0.0144927536,0.928877464,17.03884844,669.257971,-0.0153896863,0.0486648604,0.0004918625,1.2684287906976417,-0.9751355483080412,Cluster 2,154.0
57AEEDF72B,파리**********,서울  성동구  마장동,서울 성동구,베이커리10,베이커리,마장동,20110112,,-0.656608741,-0.0178041543,0.587951807,17.37633632,667.0091988,-0.0611289212,0.0372164007,0.0011474934,1.5093175011086015,-1.900638090192383,Cluster 3,62.0
99730CC7C5,진*,서울  성동구  마장동,서울 성동구,,요리주점,왕십리,20000420,,1.102409625,-0.0170316302,1.549586777,40.8208325,667.53382,-0.00475305234,0.00937488263,0.001297369,2.35001047668636,0.7680511190636017,Cluster 1,71.0
1900B33A12,삼대**,서울  성동구  마장동,서울 성동구,한식-냉면1,한식-냉면,마장동,20081008,,-1.213559752,-0.0252365931,1.446808511,11.56978936,661.9618297,-0.00674157303,0.012110646,0.0005906069,-1.0349879185744697,-0.9045431277415464,Cluster 1,12.0
112C9E0C52,대구*,서울  성동구  마장동,서울 성동구,,백반/가정식,마장동,20140211,,-0.484822409,-0.0181818182,0.277529096,20.27152054,666.7527273,-0.0231057798,0.0578019932,0.0007970611,0.4762408658014819,-1.9229365625535293,Cluster 1,292.0
87569153FF,원조***,서울  성동구  마장동,서울 성동구,,한식-육류/고기,마장동,20050201,,0.0613834423,-0.0257234727,1.1144641,14.60821099,661.6311897,0.0137618579,0.0590504972,0.0046732,-0.659191995957127,-0.2052171151470982,Cluster 1,358.0
AC6B3827B8,훈희***,서울  성동구  마장동,서울 성동구,,한식-육류/고기,마장동,20090122,,0.0340199034,-0.0185185185,1.45631068,22.14731099,666.5240741,0.137205387,0.0636351897,0.0021370854,0.7873998643657419,-0.2788573372674413,Cluster 1,358.0
8425C2D133,몽실******,서울  성동구  마장동,서울 성동구,,한식-육류/고기,마장동,20110506,,0.0422231692,-0.0252365931,1.101419878,16.82607382,661.9618297,0.0174225103,0.0118434976,0.0038195201,0.3389698798030072,-0.1641130429013815,Cluster 1,358.0
21C4BDD140,순대**,서울  성동구  마장동,서울 성동구,,한식-국밥/설렁탕,마장동,20051223,,-0.359738467,-0.0142857143,1.03125,17.41309108,669.3985714,0.0358813126,0.0202143023,0.01255191,2.1112434514000884,-1.5254320122459972,Cluster 1,53.0
11B0AA1C3B,동원**,서울  성동구  마장동,서울 성동구,,한식-단품요리일반,왕십리,20011022,,1.26332372,-0.026272578,1.079136691,48.08389192,661.2582923,0.0167646591,0.0117558627,0.0011659652,0.8089294776108781,0.9372601748788516,Cluster 1,242.0
E6AE130DD5,마장*****,서울  성동구  마장로,서울 성동구,,한식-육류/고기,왕십리,20111109,,2.078345593,-0.0248756219,0.721413721,18.26078672,662.2069652,-0.000356881052,0.020954284,0.00709131,0.5472083144572245,-0.1761107105908517,Cluster 1,358.0
EE8D458B93,와이***********,서울  성동구  무학로,서울 성동구,,축산물,마장동,20121109,,2.99469597,-0.0181818182,0.958371878,11.92384162,666.7527273,-0.0231057798,0.0578019932,0.00020234213,0.7252876186867557,-0.8408458400754891,Cluster 2,154.0
1F5C564B04,맛드*,서울  성동구  상원길,서울 성동구,,반찬,뚝섬,20130410,,0.808122036,-0.029972752,0.584615385,23.74050205,658.7455041,-0.0428372053,0.0339501611,0.014319111,-0.933062278061372,-0.5605565431126298,Cluster 1,16.0
69EE47A25B,피자********,서울  성동구  상원길,서울 성동구,피자8,피자,뚝섬,20121231,,-0.386333705,-0.0207156309,0.806451613,11.85716542,665.0320151,0.000839122717,0.029740241,0.003000111,1.2978547893144363,-0.4103390120738016,Cluster 1,42.0
6E87D8EF74,담바*,서울  성동구  상원길,서울 성동구,,한식-육류/고기,뚝섬,20140318,,-0.026174838,-0.0228832952,0.748285994,27.95871986,663.5599542,-0.0168755963,0.00838488957,0.09550625,0.46820136899945,0.7776422160369185,Cluster 1,358.0
82F292A867,델리**,서울  성동구  송정동,서울 성동구,,식료품,장한평자동차,20090904,,-0.95799956,-0.04,1.298578199,22.55523944,651.936,0.0176923077,0.0195069012,0.0012311831,-1.7720893441561971,0.4788065217558535,Cluster 2,36.0
BDEBB09D4F,본토****,서울  성동구  송정동,서울 성동구,,한식-육류/고기,장한평자동차,20100817,,-1.134664351,-0.0731707317,0.721413721,18.12679048,629.4097561,-0.000356881052,0.020954284,0.0041617737,-7.3668357224259875,0.1442503460135895,Cluster 2,84.0
9D085B6A2F,동부**,서울  성동구  용답동,서울 성동구,,백반/가정식,장한평자동차,20110329,,-0.583531158,-0.0681818182,1.093577982,19.19888348,632.7977273,-0.0118080244,0.0103684603,0.009145894,-6.272548786587346,1.1476795551166563,Cluster 2,54.0
6D8F7BBA89,고향**,서울  성동구  용답동,서울 성동구,,한식-단품요리일반,장한평자동차,20030421,,-0.833675779,-0.0731707317,0.799031477,22.64951618,629.4097561,-0.000356881052,0.020954284,0.020920055,-6.45937191477285,1.573375125625058,Cluster 2,64.0
5B646D947B,풀무*********,서울  성동구  응봉동,서울 성동구,식료품3,식료품,행당,20120608,,0.165203241,-0.034965035,0.8832,95.07560027,655.3552448,0.000226800227,0.0135819386,0.00033216414,-0.8139666568809418,1.474279874469498,Cluster 1,122.0
875116B12A,단아**,서울  성동구  응봉동,서울 성동구,,떡/한과 제조,행당,20070417,,1.521277659,-0.0384615385,1.182795699,21.80638765,652.9807692,0.0397542292,0.0249659701,0.00296776,-1.7122438994249956,-0.9357097325838865,Cluster 1,17.0
21752D89FB,영*,서울  성동구  행당동,서울 성동구,,건강식품,행당,20090316,,0.267261242,-0.0166666667,0.957446809,39.95875242,667.7816667,-0.0105419451,0.0293451703,0.0029385246,-0.3187584712594874,-0.7721532496381064,Cluster 1,6.0
80E637212D,에스******,서울  성동구  행당동,서울 성동구,,커피전문점,행당,20110808,,-0.527495592,-0.0347222222,1.906976744,26.66422521,655.5201389,0.000111012433,0.00525943065,0.06756889,-1.1682869689642033,3.01730843142212,Cluster 2,34.0
CEF3D93273,종로**,서울  성동구  행당동,서울 성동구,,떡/한과 제조,행당,20061026,,1.521277659,-0.0168067227,0.988764045,9.821122021,667.6865546,-0.0526742886,0.027050145,0.005714812,3.4804925413802046,-0.9725299580825834,Cluster 2,6.0
33361C935B,만두**,서울  성동구  행당동,서울 성동구,,한식-국수/만두,행당,20101112,,-0.644383337,-0.031496063,0.352941176,10.15419169,657.7110236,-0.00958361416,0.0142620927,0.00044134882,-0.3363519547092594,-1.9254311516016964,Cluster 1,9.0
E1C897591D,코페*,서울  성동구  행당동,서울 성동구,,한식-단품요리일반,한양대,20061023,,0.577705844,-0.0391061453,0.263310745,15.70347052,652.5430168,0.0227761066,0.0643741806,0.0002884631,-2.922976241599321,-0.8136566517203291,Cluster 2,64.0
1F7ECE7D49,아폴*********,서울  성동구  행당동,서울 성동구,,한식-단품요리일반,왕십리,20110105,,1.230050586,-0.025682183,0.571785268,7.232360301,661.6592295,-0.0280551262,0.0143118193,0.032070298,0.3881640752846727,-1.481231942109607,Cluster 1,242.0
25D2E98F3A,무탁****,서울  성동구  행당동,서울 성동구,,한식-단품요리일반,왕십리,20111107,,1.244493203,-0.0185643564,1.013100437,12.17048138,666.4929455,0.0147240957,0.0127372935,0.0004235812,1.6140523127293105,-0.7874969398519782,Cluster 1,242.0
66A39F4442,정은****,서울  성동구  홍익동,서울 성동구,,한식-육류/고기,왕십리,20100408,,2.25601659,-0.0170316302,0.679334917,5.549472369,667.53382,-0.00475305234,0.00937488263,0.00044908054,1.9155000696844549,-1.3545224742660793,Cluster 1,358.0
3E96264C22,맛나**,서울  성동구  홍익동,서울 성동구,,한식-찌개/전골,왕십리,20060216,,2.039700311,-0.0212443096,0.295081967,12.46352848,664.6729894,0.0107848133,0.00679504219,0.0010427202,2.016653332396922,-1.1519415611552857,Cluster 1,38.0
C1C06DF70A,설빙****,서울 성동구 마조로 9,서울 성동구,아이스크림/빙수2,아이스크림/빙수,한양대,20140623,,1.281682672,-0.0442477876,0.753926702,18.12090577,649.0513274,0.111989271,0.0524456285,0.0023786193,-2.866498843220502,-1.0510403375506752,Cluster 2,21.0
8ABD74319E,70******,서울 성동구 무학로 8,서울 성동구,,룸살롱/단란주점,마장동,20151116,,-0.214285714,-0.0261437908,1.125,32.47209819,661.3457516,-0.00618238022,0.0666561249,0.01809683,-1.6403086230032755,2.9656985161963285,Cluster 1,17.0
8749D150F3,오가******,서울  성동구  상원6길,서울 성동구,,한식-해물/생선,뚝섬,20111103,,0.226479405,-0.0246636771,1.309090909,23.69996538,662.3508969,0.0432879028,0.0181797971,0.0064787697,0.2761439729337838,0.3269516106219358,Cluster 2,104.0
5BE883AA16,극동*****,서울  성동구  옥수2동,서울 성동구,,축산물,옥수,19941128,,-0.376195882,-0.0147058824,0.931005819,18.68116849,669.1132353,-0.0278969957,0.0188367229,0.0036203659,-0.1792465298929821,-1.0493807503448191,Cluster 2,154.0
94C8165F35,전주*******,서울  성동구  옥수2동,서울 성동구,,백반/가정식,옥수,19981207,,-0.686977521,-0.0173913043,0.281973817,28.86951454,667.2895652,-0.00869565217,0.0212229113,0.000610829,1.2486652829380198,-1.1699996997427302,Cluster 1,292.0
ED815EC186,양지***,서울  성동구  옥수2동,서울 성동구,,한식-육류/고기,옥수,20000607,,-0.888832344,-0.0173913043,0.749478079,27.2742056,667.2895652,-0.0154241645,0.0232003473,0.00016623712,0.9056291232769398,0.2915887529061284,Cluster 1,358.0
FBDA2A8798,장군**,서울  성동구  옥수2동,서울 성동구,,한식-육류/고기,옥수,20021109,,-0.888832344,-0.0173913043,0.37473904,17.79595694,667.2895652,-0.0154241645,0.0232003473,0.0003341403,0.7682367685666431,-0.9762137715403708,Cluster 1,358.0
147235F3A5,돈까*,서울  성동구  옥수2동,서울 성동구,,일식-덮밥/돈가스,옥수,20070314,,-1.034792955,-0.0170940171,1.135802469,12.28317367,667.491453,0.0,0.0152451576,0.00013706484,1.4503957881110645,-0.4910904183592856,Cluster 1,28.0
167F268F8E,돔카*,서울  성동구  행당1동,서울 성동구,,카페,왕십리,20110525,,0.41092273,-0.0222222222,1.042115573,17.22886992,664.0088889,0.0132772166,0.0129746333,0.006413024,0.9319881425540656,0.5400765466989181,Cluster 2,303.0
7C3795DF2D,한양***********,서울  성동구  행당1동,서울 성동구,,식료품,한양대,20090311,,-0.317118893,-0.0424836601,0.646840149,22.27095959,650.2493464,0.0143403055,0.0743380082,0.003190781,-2.9300580718686384,-0.3828452796138599,Cluster 2,36.0
E9EB56D7EC,한양***,서울  성동구  행당1동,서울 성동구,,한식-육류/고기,한양대,20100719,,0.49161531,-0.0428571429,0.741784038,15.6867082,649.9957143,-0.119091266,0.0674364835,0.040728185,-3.777095037267548,0.9039410457629862,Cluster 2,84.0
55B4F11C0E,김밥**,서울  성동구  행당2동,서울 성동구,,분식,행당,20101011,,-0.594228361,-0.0324675325,1.176470588,5.475805984,657.0512987,0.0153602742,0.0125493862,0.0029270966,-0.5060738742722424,-0.08698825686269,Cluster 1,104.0
C75AC23756,대림****,서울  성동구  행당2동,서울 성동구,,축산물,행당,20000627,,-0.360521053,-0.0331125828,0.810810811,23.567975,656.613245,-0.0132450331,0.00878111618,0.022624176,-3.598307057104102,0.2662173176362822,Cluster 1,131.0
4DEDE7CD03,닭한*****,서울 성동구 금호동2가,서울 성동구,,한식-육류/고기,신금호,20041102,,-0.768027236,-0.0434782609,1.026578073,14.05075074,649.573913,0.00159910105,0.0149511541,0.024527969,-2.715826035046263,-0.1199345281919096,Cluster 2,84.0
8F1003CA95,귀일**,서울 성동구 금호동3가,서울 성동구,,분식,금남시장,20160315,,-0.490820356,-0.0259259259,0.925925926,5.421018044,661.4937037,-0.00259400622,0.0149445085,0.0009920066,0.3829228824652014,-0.7451707097913737,Cluster 1,104.0
04BACBFB49,해장***,서울 성동구 금호로 56,서울 성동구,,백반/가정식,금남시장,20070125,,-0.286046125,-0.0278884462,0.811827957,15.0353651,660.1609562,-0.0323548127,0.0140429975,0.008137558,-0.1140834273760451,-0.4855703513017015,Cluster 1,292.0
5946F40892,교촌******,서울 성동구 금호로 62,서울 성동구,치킨6,치킨,금남시장,20130325,,0.185068837,-0.0203389831,0.775862069,4.656859682,665.2877966,-0.0152412106,0.00686846681,0.0012730937,1.360783571994566,-1.153279322732368,Cluster 1,113.0
17FF425166,광주**,서울 성동구 금호로 66,서울 성동구,,한식-해물/생선,신금호,20020708,,-0.833152547,-0.0458015267,1.671732523,21.70596576,647.9961832,-0.0359281437,0.0220512082,0.0021297003,-4.0204412386526736,0.3766419317494431,Cluster 1,17.0
AB0716250B,와규**,서울 성동구 동일로 83,서울 성동구,,한식-육류/고기,성수,20080515,,1.438212112,-0.0259615385,1.416129032,19.96672832,661.4695192,-0.00548096438,0.0184036441,0.004322188,0.471489903963104,0.8698051483164129,Cluster 1,358.0
E9D4FB94A0,참나*****,서울 성동구 동일로 83,서울 성동구,,한식-단품요리일반,성수,20100223,,2.436878167,-0.0310945274,0.846246973,20.57592214,657.9837065,0.00810355673,0.0174033325,0.0149369575,-0.3118063891714236,-0.7208502569605,Cluster 1,242.0
149BA1B7C7,써브******,서울 성동구 마조로 11,서울 성동구,샌드위치/토스트2,샌드위치/토스트,한양대,20020121,,-0.114707867,-0.0440251572,0.319444444,12.19694052,649.2025157,-0.0992747113,0.0553204388,0.0009909633,-4.91642737683106,1.4091336801594851,Cluster 1,8.0
2AECA02B3A,대*,서울 성동구 마조로 17,서울 성동구,,축산물,한양대,20020430,,-0.364226014,-0.0424836601,0.947064485,31.30712718,650.2493464,0.0143403055,0.0743380082,0.0037018657,-4.292074015960054,1.2812887394192063,Cluster 1,131.0
11A66B8033,돼지*,서울 성동구 마조로 17,서울 성동구,,한식-육류/고기,한양대,20020321,,0.603100574,-0.0440251572,1.105418719,18.30162344,649.2025157,-0.0992747113,0.0553204388,0.073658206,-3.561555163352508,1.5387814778250473,Cluster 2,84.0
CE3D519C06,장어**,서울 성동구 마조로 17,서울 성동구,,한식-해물/생선,한양대,20090617,,-0.467474158,-0.0415335463,0.919642857,19.66873539,650.8945687,0.0221382123,0.0645234985,0.005666256,-4.233763383306828,-0.1842294416079961,Cluster 1,17.0
03A222EE9D,놀란*,서울 성동구 마조로 17,서울 성동구,,한식-단품요리일반,한양대,20140609,,0.610293506,-0.0387596899,1.035621199,8.531349858,652.7782946,0.0164308842,0.0151723258,0.005613836,-1.3786621950378308,-0.0831812610596274,Cluster 2,64.0
946BE40BF1,토리********,서울 성동구 마조로 25,서울 성동구,,일식당,한양대,20150911,,-0.0312805624,-0.0424836601,0.801724138,5.296841077,650.2493464,0.0143403055,0.0743380082,0.0011264451,-4.206979419868234,-0.1497834911823078,Cluster 2,21.0
B2378AFA3D,성일***,서울 성동구 마조로 29,서울 성동구,,한식-감자탕,한양대,20100217,,-1.341640786,-0.0371352785,0.975,11.57754856,653.8814324,0.0219783396,0.0783534834,0.0004369708,-0.4391737037062623,-3.54589069527155,Cluster 1,13.0
F512DF538E,맘스*******,서울 성동구 마조로 31,서울 성동구,햄버거2,햄버거,한양대,20150831,,-0.40824829,-0.0401069519,0.682926829,17.01450168,651.863369,0.110693665,0.0628809023,0.016830588,-3.294740709475557,0.7731278440284537,Cluster 3,5.0
C2207433F7,한솥***********,서울 성동구 마조로 33,서울 성동구,도시락3,도시락,한양대,20100712,,1.224744871,-0.0424836601,0.352941176,11.15514914,650.2493464,0.0143403055,0.0743380082,0.0015660572,,,,
9350A78BD7,동방***,서울 성동구 마조로 33,서울 성동구,,꼬치구이,한양대,20140721,,0.68680282,-0.0440251572,0.393939394,11.78657089,649.2025157,-0.0992747113,0.0553204388,0.007827216,-3.9646382407917424,-1.125020961069216,Cluster 1,8.0
661C7C734C,크로*******,서울 성동구 마조로 35,서울 성동구,,베이커리,한양대,20020925,,-0.225546726,-0.0415335463,1.185595568,21.55029202,650.8945687,0.0221382123,0.0645234985,0.030160394,-3.8508294934208815,-0.7534223385644571,Cluster 2,22.0
43CE48A1CD,스마*,서울 성동구 마조로 39,서울 성동구,,분식,한양대,20090303,,0.365617902,-0.0390625,0.898706897,21.46227527,652.5726563,-0.030663896,0.0374608126,0.017532097,-2.360688473003119,0.1519261716233117,Cluster 2,36.0
0E2AE2C4F1,철*,서울 성동구 마조로 7.,서울 성동구,,백반/가정식,한양대,20160823,,-0.38256326,-0.0434782609,0.803433476,25.75191222,649.573913,0.0103921649,0.0624116647,0.006311218,-3.4777869395878693,-0.2701415587344005,Cluster 2,54.0
7102ACD438,인덕***,서울 성동구 매봉길 2.,서울 성동구,,양식,옥수,20180117,,-0.524462701,-0.015625,1.251533742,27.19159228,668.4890625,-0.013362069,0.0249770689,0.010013202,2.081394684336164,1.1685518871981917,Cluster 1,161.0
F80F79F599,파파*****,서울 성동구 매봉길 2.,서울 성동구,피자7,피자,옥수,20051130,,-0.670754893,-0.0181818182,1.070063694,6.388538957,666.7527273,-0.00257731959,0.00182479169,8.12e-05,2.3008086655511395,0.1506547189506317,Cluster 1,42.0
FCBC740B1D,왕십**********,서울 성동구 무학로 33,서울 성동구,베이커리10,베이커리,왕십리,20160419,,0.883576732,-0.0208913649,0.315068493,18.72825485,664.9126741,-0.0146965068,0.0129959138,0.0064801387,1.3989664767762702,-1.012277683798996,Cluster 3,62.0
D427F7C6AB,벽산****,서울 성동구 무학로 42,서울 성동구,,포장마차,마장동,20091202,,-0.837637266,-0.018018018,1.060606061,12.99442701,666.863964,-0.00158029094,0.0164788168,0.0014622625,-1.5260900004585878,-0.4499452288287981,Cluster 2,25.0
7D6F493369,춘천***,서울 성동구 상원6길 5,서울 성동구,한식-육류/고기25,한식-육류/고기,뚝섬,20000318,,0.0868902401,-0.0224489796,1.0529462,23.56609723,663.854898,-0.00456306956,0.0166249506,0.018971078,0.5981059568036402,0.5202851738041255,Cluster 1,358.0
98BA99BFE9,가든***,서울 성동구 상원8길 1,서울 성동구,,축산물,뚝섬,20090717,,-0.377002577,-0.0218687873,0.231543624,45.49268081,664.2489066,0.0257114032,0.0222766687,3.62e-05,-1.5838323373043088,-0.8255649975802797,Cluster 1,131.0
54529B6426,둘둘***********,서울 성동구 상원길 52,서울 성동구,치킨14,치킨,뚝섬,20101101,,-0.344999254,-0.0207156309,0.800796813,30.30813197,665.0320151,0.000839122717,0.029740241,0.0074632466,0.1528211281043169,0.922338142384066,Cluster 1,113.0
3DD6585AD5,이흥***,서울 성동구 상원길 54,서울 성동구,,한식-육류/고기,뚝섬,19990205,,0.0868902401,-0.0224489796,0.701964133,19.52478158,663.854898,-0.00456306956,0.0166249506,0.018034212,0.4873299419375252,-0.2786310070241095,Cluster 1,358.0
2B89D787CB,왕짜*,서울 성동구 상원길 60,서울 성동구,중식당3,중식당,뚝섬,20181205,,0.388107736,-0.0207156309,0.79338843,19.24784009,665.0320151,0.000839122717,0.029740241,0.02674534,0.8218245510258801,-0.7026149295149712,Cluster 1,85.0
3B0F367222,맛닭******,서울 성동구 성수동2가,서울 성동구,치킨18,치킨,성수,20000906,,1.417270444,-0.029375765,0.296587927,13.39289984,659.150918,0.00854920885,0.0110666925,0.005003583,0.2533752422513521,-1.5600175685949722,Cluster 1,113.0
4208C4C0A7,삼오***,서울 성동구 성수동2가,서울 성동구,,식품 제조,성수,20160729,,2.552637351,-0.0259615385,0.989583333,50.17147599,661.4695192,-0.00548096438,0.0184036441,0.040723827,0.130831805192893,0.0043927280368448,Cluster 1,19.0
838461E308,찐짜**,서울 성동구 성수동2가,서울 성동구,,백반/가정식,성수,20150824,,2.510441647,-0.0311804009,1.105691057,15.04981319,657.9253898,0.011986687,0.00622588799,0.007195886,-0.0923108659169885,0.2355253500629376,Cluster 1,292.0
