가맹점구분번호,가맹점명,가맹점주소,가맹점지역,브랜드구분코드,업종,상권,개설일,폐업일,comp_intensity,market_churn_rate_4w,same_industry_sales_ratio,customer_fit_score,avg_survival_months,Δsales_4w,sales_volatility_4w,risk_score_xgb
5017C6924A,도미********,서울  성동구  마장동,서울 성동구,피자2,피자,마장동,20100723,,-0.72829566,-0.0181818182,0.552941176,11.48501538,666.7527273,-0.0231057798,0.0578019932,0.00017219302
888828B4FB,현대**,서울  성동구  마장동,서울 성동구,,식료품,마장동,20070420,,0.115821562,-0.025,0.655234657,17.80172052,662.1225,0.00257824284,0.00734334113,0.0025553387
06C463E9D9,청계**,서울  성동구  마장동,서울 성동구,,식료품,마장동,20070704,,0.115821562,-0.025,1.092057762,84.68954408,662.1225,0.00257824284,0.00734334113,0.0003242729
5AEEA3B4EF,한양**,서울  성동구  마장동,서울 성동구,,식료품,마장동,20101008,,0.0831171635,-0.0216049383,1.129326047,46.04063995,664.4280864,-0.12568306,0.0651962926,0.0010667234
1400634946,한일**,서울  성동구  마장동,서울 성동구,,중식당,마장동,20040728,,-0.745586147,-0.0257234727,1.607843137,17.05647248,661.6311897,0.0137618579,0.0590504972,0.0041681714
3E61C339E2,세화**,서울  성동구  마장동,서울 성동구,,축산물,마장동,20020924,,2.99480189,-0.018018018,0.242565056,25.42414207,666.863964,-0.00158029094,0.0164788168,0.00924116
B81D338DB6,대성**,서울  성동구  마장동,서울 성동구,축산물2,축산물,마장동,20030819,,2.99531246,-0.0185185185,1.395604396,22.55523944,666.5240741,0.137205387,0.0636351897,0.033909917
8941E2A3A0,광*,서울  성동구  마장동,서울 성동구,,축산물,마장동,20090304,,2.993892226,-0.0139275766,1.621621622,19.36418109,669.6417827,-0.104116373,0.0621861056,0.0037113375
D5CFCB32BA,희망**,서울  성동구  마장동,서울 성동구,,축산물,마장동,20110720,,2.995200442,-0.0142857143,1.343724364,64.04368408,669.3985714,0.0358813126,0.0202143023,0.0013723059
319880C87E,한일**,서울  성동구  마장동,서울 성동구,,축산물,마장동,20120312,,2.995790557,-0.0257234727,1.156429942,17.57871854,661.6311897,0.0137618579,0.0590504972,0.01209172
A6277E8E47,세계**,서울  성동구  마장동,서울 성동구,,축산물,마장동,20120911,,2.994925922,-0.0144927536,0.928877464,17.03884844,669.257971,-0.0153896863,0.0486648604,0.0004918625
57AEEDF72B,파리**********,서울  성동구  마장동,서울 성동구,베이커리10,베이커리,마장동,20110112,,-0.656608741,-0.0178041543,0.587951807,17.37633632,667.0091988,-0.0611289212,0.0372164007,0.0011474934
99730CC7C5,진*,서울  성동구  마장동,서울 성동구,,요리주점,왕십리,20000420,,1.102409625,-0.0170316302,1.549586777,40.8208325,667.53382,-0.00475305234,0.00937488263,0.001297369
1900B33A12,삼대**,서울  성동구  마장동,서울 성동구,한식-냉면1,한식-냉면,마장동,20081008,,-1.213559752,-0.0252365931,1.446808511,11.56978936,661.9618297,-0.00674157303,0.012110646,0.0005906069
112C9E0C52,대구*,서울  성동구  마장동,서울 성동구,,백반/가정식,마장동,20140211,,-0.484822409,-0.0181818182,0.277529096,20.27152054,666.7527273,-0.0231057798,0.0578019932,0.0007970611
87569153FF,원조***,서울  성동구  마장동,서울 성동구,,한식-육류/고기,마장동,20050201,,0.0613834423,-0.0257234727,1.1144641,14.60821099,661.6311897,0.0137618579,0.0590504972,0.0046732
AC6B3827B8,훈희***,서울  성동구  마장동,서울 성동구,,한식-육류/고기,마장동,20090122,,0.0340199034,-0.0185185185,1.45631068,22.14731099,666.5240741,0.137205387,0.0636351897,0.0021370854
8425C2D133,몽실******,서울  성동구  마장동,서울 성동구,,한식-육류/고기,마장동,20110506,,0.0422231692,-0.0252365931,1.101419878,16.82607382,661.9618297,0.0174225103,0.0118434976,0.0038195201
21C4BDD140,순대**,서울  성동구  마장동,서울 성동구,,한식-국밥/설렁탕,마장동,20051223,,-0.359738467,-0.0142857143,1.03125,17.41309108,669.3985714,0.0358813126,0.0202143023,0.01255191
11B0AA1C3B,동원**,서울  성동구  마장동,서울 성동구,,한식-단품요리일반,왕십리,20011022,,1.26332372,-0.026272578,1.079136691,48.08389192,661.2582923,0.0167646591,0.0117558627,0.0011659652
E6AE130DD5,마장*****,서울  성동구  마장로,서울 성동구,,한식-육류/고기,왕십리,20111109,,2.078345593,-0.0248756219,0.721413721,18.26078672,662.2069652,-0.000356881052,0.020954284,0.00709131
EE8D458B93,와이***********,서울  성동구  무학로,서울 성동구,,축산물,마장동,20121109,,2.99469597,-0.0181818182,0.958371878,11.92384162,666.7527273,-0.0231057798,0.0578019932,0.00020234213
1F5C564B04,맛드*,서울  성동구  상원길,서울 성동구,,반찬,뚝섬,20130410,,0.808122036,-0.029972752,0.584615385,23.74050205,658.7455041,-0.0428372053,0.0339501611,0.014319111
69EE47A25B,피자********,서울  성동구  상원길,서울 성동구,피자8,피자,뚝섬,20121231,,-0.386333705,-0.0207156309,0.806451613,11.85716542,665.0320151,0.000839122717,0.029740241,0.003000111
6E87D8EF74,담바*,서울  성동구  상원길,서울 성동구,,한식-육류/고기,뚝섬,20140318,,-0.026174838,-0.0228832952,0.748285994,27.95871986,663.5599542,-0.0168755963,0.00838488957,0.09550625
82F292A867,델리**,서울  성동구  송정동,서울 성동구,,식료품,장한평자동차,20090904,,-0.95799956,-0.04,1.298578199,22.55523944,651.936,0.0176923077,0.0195069012,0.0012311831
BDEBB09D4F,본토****,서울  성동구  송정동,서울 성동구,,한식-육류/고기,장한평자동차,20100817,,-1.134664351,-0.0731707317,0.721413721,18.12679048,629.4097561,-0.000356881052,0.020954284,0.0041617737
9D085B6A2F,동부**,서울  성동구  용답동,서울 성동구,,백반/가정식,장한평자동차,20110329,,-0.583531158,-0.0681818182,1.093577982,19.19888348,632.7977273,-0.0118080244,0.0103684603,0.009145894
6D8F7BBA89,고향**,서울  성동구  용답동,서울 성동구,,한식-단품요리일반,장한평자동차,20030421,,-0.833675779,-0.0731707317,0.799031477,22.64951618,629.4097561,-0.000356881052,0.020954284,0.020920055
5B646D947B,풀무*********,서울  성동구  응봉동,서울 성동구,식료품3,식료품,행당,20120608,,0.165203241,-0.034965035,0.8832,95.07560027,655.3552448,0.000226800227,0.0135819386,0.00033216414
875116B12A,단아**,서울  성동구  응봉동,서울 성동구,,떡/한과 제조,행당,20070417,,1.521277659,-0.0384615385,1.182795699,21.80638765,652.9807692,0.0397542292,0.0249659701,0.00296776
21752D89FB,영*,서울  성동구  행당동,서울 성동구,,건강식품,행당,20090316,,0.267261242,-0.0166666667,0.957446809,39.95875242,667.7816667,-0.0105419451,0.0293451703,0.0029385246
80E637212D,에스******,서울  성동구  행당동,서울 성동구,,커피전문점,행당,20110808,,-0.527495592,-0.0347222222,1.906976744,26.66422521,655.5201389,0.000111012433,0.00525943065,0.06756889
CEF3D93273,종로**,서울  성동구  행당동,서울 성동구,,떡/한과 제조,행당,20061026,,1.521277659,-0.0168067227,0.988764045,9.821122021,667.6865546,-0.0526742886,0.027050145,0.005714812
33361C935B,만두**,서울  성동구  행당동,서울 성동구,,한식-국수/만두,행당,20101112,,-0.644383337,-0.031496063,0.352941176,10.15419169,657.7110236,-0.00958361416,0.0142620927,0.00044134882
E1C897591D,코페*,서울  성동구  행당동,서울 성동구,,한식-단품요리일반,한양대,20061023,,0.577705844,-0.0391061453,0.263310745,15.70347052,652.5430168,0.0227761066,0.0643741806,0.0002884631
1F7ECE7D49,아폴*********,서울  성동구  행당동,서울 성동구,,한식-단품요리일반,왕십리,20110105,,1.230050586,-0.025682183,0.571785268,7.232360301,661.6592295,-0.0280551262,0.0143118193,0.032070298
25D2E98F3A,무탁****,서울  성동구  행당동,서울 성동구,,한식-단품요리일반,왕십리,20111107,,1.244493203,-0.0185643564,1.013100437,12.17048138,666.4929455,0.0147240957,0.0127372935,0.0004235812
66A39F4442,정은****,서울  성동구  홍익동,서울 성동구,,한식-육류/고기,왕십리,20100408,,2.25601659,-0.0170316302,0.679334917,5.549472369,667.53382,-0.00475305234,0.00937488263,0.00044908054
3E96264C22,맛나**,서울  성동구  홍익동,서울 성동구,,한식-찌개/전골,왕십리,20060216,,2.039700311,-0.0212443096,0.295081967,12.46352848,664.6729894,0.0107848133,0.00679504219,0.0010427202
C1C06DF70A,설빙****,서울 성동구 마조로 9,서울 성동구,아이스크림/빙수2,아이스크림/빙수,한양대,20140623,,1.281682672,-0.0442477876,0.753926702,18.12090577,649.0513274,0.111989271,0.0524456285,0.0023786193
8ABD74319E,70******,서울 성동구 무학로 8,서울 성동구,,룸살롱/단란주점,마장동,20151116,,-0.214285714,-0.0261437908,1.125,32.47209819,661.3457516,-0.00618238022,0.0666561249,0.01809683
8749D150F3,오가******,서울  성동구  상원6길,서울 성동구,,한식-해물/생선,뚝섬,20111103,,0.226479405,-0.0246636771,1.309090909,23.69996538,662.3508969,0.0432879028,0.0181797971,0.0064787697
5BE883AA16,극동*****,서울  성동구  옥수2동,서울 성동구,,축산물,옥수,19941128,,-0.376195882,-0.0147058824,0.931005819,18.68116849,669.1132353,-0.0278969957,0.0188367229,0.0036203659
94C8165F35,전주*******,서울  성동구  옥수2동,서울 성동구,,백반/가정식,옥수,19981207,,-0.686977521,-0.0173913043,0.281973817,28.86951454,667.2895652,-0.00869565217,0.0212229113,0.000610829
ED815EC186,양지***,서울  성동구  옥수2동,서울 성동구,,한식-육류/고기,옥수,20000607,,-0.888832344,-0.0173913043,0.749478079,27.2742056,667.2895652,-0.0154241645,0.0232003473,0.00016623712
FBDA2A8798,장군**,서울  성동구  옥수2동,서울 성동구,,한식-육류/고기,옥수,20021109,,-0.888832344,-0.0173913043,0.37473904,17.79595694,667.2895652,-0.0154241645,0.0232003473,0.0003341403
147235F3A5,돈까*,서울  성동구  옥수2동,서울 성동구,,일식-덮밥/돈가스,옥수,20070314,,-1.034792955,-0.0170940171,1.135802469,12.28317367,667.491453,0,0.0152451576,0.00013706484
167F268F8E,돔카*,서울  성동구  행당1동,서울 성동구,,카페,왕십리,20110525,,0.41092273,-0.0222222222,1.042115573,17.22886992,664.0088889,0.0132772166,0.0129746333,0.006413024
7C3795DF2D,한양***********,서울  성동구  행당1동,서울 성동구,,식료품,한양대,20090311,,-0.317118893,-0.0424836601,0.646840149,22.27095959,650.2493464,0.0143403055,0.0743380082,0.003190781
E9EB56D7EC,한양***,서울  성동구  행당1동,서울 성동구,,한식-육류/고기,한양대,20100719,,0.49161531,-0.0428571429,0.741784038,15.6867082,649.9957143,-0.119091266,0.0674364835,0.040728185
55B4F11C0E,김밥**,서울  성동구  행당2동,서울 성동구,,분식,행당,20101011,,-0.594228361,-0.0324675325,1.176470588,5.475805984,657.0512987,0.0153602742,0.0125493862,0.0029270966
C75AC23756,대림****,서울  성동구  행당2동,서울 성동구,,축산물,행당,20000627,,-0.360521053,-0.0331125828,0.810810811,23.567975,656.613245,-0.0132450331,0.00878111618,0.022624176
4DEDE7CD03,닭한*****,서울 성동구 금호동2가,서울 성동구,,한식-육류/고기,신금호,20041102,,-0.768027236,-0.0434782609,1.026578073,14.05075074,649.573913,0.00159910105,0.0149511541,0.024527969
8F1003CA95,귀일**,서울 성동구 금호동3가,서울 성동구,,분식,금남시장,20160315,,-0.490820356,-0.0259259259,0.925925926,5.421018044,661.4937037,-0.00259400622,0.0149445085,0.0009920066
04BACBFB49,해장***,서울 성동구 금호로 56,서울 성동구,,백반/가정식,금남시장,20070125,,-0.286046125,-0.0278884462,0.811827957,15.0353651,660.1609562,-0.0323548127,0.0140429975,0.008137558
5946F40892,교촌******,서울 성동구 금호로 62,서울 성동구,치킨6,치킨,금남시장,20130325,,0.185068837,-0.0203389831,0.775862069,4.656859682,665.2877966,-0.0152412106,0.00686846681,0.0012730937
17FF425166,광주**,서울 성동구 금호로 66,서울 성동구,,한식-해물/생선,신금호,20020708,,-0.833152547,-0.0458015267,1.671732523,21.70596576,647.9961832,-0.0359281437,0.0220512082,0.0021297003
AB0716250B,와규**,서울 성동구 동일로 83,서울 성동구,,한식-육류/고기,성수,20080515,,1.438212112,-0.0259615385,1.416129032,19.96672832,661.4695192,-0.00548096438,0.0184036441,0.004322188
E9D4FB94A0,참나*****,서울 성동구 동일로 83,서울 성동구,,한식-단품요리일반,성수,20100223,,2.436878167,-0.0310945274,0.846246973,20.57592214,657.9837065,0.00810355673,0.0174033325,0.0149369575
149BA1B7C7,써브******,서울 성동구 마조로 11,서울 성동구,샌드위치/토스트2,샌드위치/토스트,한양대,20020121,,-0.114707867,-0.0440251572,0.319444444,12.19694052,649.2025157,-0.0992747113,0.0553204388,0.0009909633
2AECA02B3A,대*,서울 성동구 마조로 17,서울 성동구,,축산물,한양대,20020430,,-0.364226014,-0.0424836601,0.947064485,31.30712718,650.2493464,0.0143403055,0.0743380082,0.0037018657
11A66B8033,돼지*,서울 성동구 마조로 17,서울 성동구,,한식-육류/고기,한양대,20020321,,0.603100574,-0.0440251572,1.105418719,18.30162344,649.2025157,-0.0992747113,0.0553204388,0.073658206
CE3D519C06,장어**,서울 성동구 마조로 17,서울 성동구,,한식-해물/생선,한양대,20090617,,-0.467474158,-0.0415335463,0.919642857,19.66873539,650.8945687,0.0221382123,0.0645234985,0.005666256
03A222EE9D,놀란*,서울 성동구 마조로 17,서울 성동구,,한식-단품요리일반,한양대,20140609,,0.610293506,-0.0387596899,1.035621199,8.531349858,652.7782946,0.0164308842,0.0151723258,0.005613836
946BE40BF1,토리********,서울 성동구 마조로 25,서울 성동구,,일식당,한양대,20150911,,-0.0312805624,-0.0424836601,0.801724138,5.296841077,650.2493464,0.0143403055,0.0743380082,0.0011264451
B2378AFA3D,성일***,서울 성동구 마조로 29,서울 성동구,,한식-감자탕,한양대,20100217,,-1.341640786,-0.0371352785,0.975,11.57754856,653.8814324,0.0219783396,0.0783534834,0.0004369708
F512DF538E,맘스*******,서울 성동구 마조로 31,서울 성동구,햄버거2,햄버거,한양대,20150831,,-0.40824829,-0.0401069519,0.682926829,17.01450168,651.863369,0.110693665,0.0628809023,0.016830588
C2207433F7,한솥***********,서울 성동구 마조로 33,서울 성동구,도시락3,도시락,한양대,20100712,,1.224744871,-0.0424836601,0.352941176,11.15514914,650.2493464,0.0143403055,0.0743380082,0.0015660572
9350A78BD7,동방***,서울 성동구 마조로 33,서울 성동구,,꼬치구이,한양대,20140721,,0.68680282,-0.0440251572,0.393939394,11.78657089,649.2025157,-0.0992747113,0.0553204388,0.007827216
661C7C734C,크로*******,서울 성동구 마조로 35,서울 성동구,,베이커리,한양대,20020925,,-0.225546726,-0.0415335463,1.185595568,21.55029202,650.8945687,0.0221382123,0.0645234985,0.030160394
43CE48A1CD,스마*,서울 성동구 마조로 39,서울 성동구,,분식,한양대,20090303,,0.365617902,-0.0390625,0.898706897,21.46227527,652.5726563,-0.030663896,0.0374608126,0.017532097
0E2AE2C4F1,철*,서울 성동구 마조로 7.,서울 성동구,,백반/가정식,한양대,20160823,,-0.38256326,-0.0434782609,0.803433476,25.75191222,649.573913,0.0103921649,0.0624116647,0.006311218
7102ACD438,인덕***,서울 성동구 매봉길 2.,서울 성동구,,양식,옥수,20180117,,-0.524462701,-0.015625,1.251533742,27.19159228,668.4890625,-0.013362069,0.0249770689,0.010013202
F80F79F599,파파*****,서울 성동구 매봉길 2.,서울 성동구,피자7,피자,옥수,20051130,,-0.670754893,-0.0181818182,1.070063694,6.388538957,666.7527273,-0.00257731959,0.00182479169,8.12E-05
FCBC740B1D,왕십**********,서울 성동구 무학로 33,서울 성동구,베이커리10,베이커리,왕십리,20160419,,0.883576732,-0.0208913649,0.315068493,18.72825485,664.9126741,-0.0146965068,0.0129959138,0.0064801387
D427F7C6AB,벽산****,서울 성동구 무학로 42,서울 성동구,,포장마차,마장동,20091202,,-0.837637266,-0.018018018,1.060606061,12.99442701,666.863964,-0.00158029094,0.0164788168,0.0014622625
7D6F493369,춘천***,서울 성동구 상원6길 5,서울 성동구,한식-육류/고기25,한식-육류/고기,뚝섬,20000318,,0.0868902401,-0.0224489796,1.0529462,23.56609723,663.854898,-0.00456306956,0.0166249506,0.018971078
98BA99BFE9,가든***,서울 성동구 상원8길 1,서울 성동구,,축산물,뚝섬,20090717,,-0.377002577,-0.0218687873,0.231543624,45.49268081,664.2489066,0.0257114032,0.0222766687,3.62E-05
54529B6426,둘둘***********,서울 성동구 상원길 52,서울 성동구,치킨14,치킨,뚝섬,20101101,,-0.344999254,-0.0207156309,0.800796813,30.30813197,665.0320151,0.000839122717,0.029740241,0.0074632466
3DD6585AD5,이흥***,서울 성동구 상원길 54,서울 성동구,,한식-육류/고기,뚝섬,19990205,,0.0868902401,-0.0224489796,0.701964133,19.52478158,663.854898,-0.00456306956,0.0166249506,0.018034212
2B89D787CB,왕짜*,서울 성동구 상원길 60,서울 성동구,중식당3,중식당,뚝섬,20181205,,0.388107736,-0.0207156309,0.79338843,19.24784009,665.0320151,0.000839122717,0.029740241,0.02674534
3B0F367222,맛닭******,서울 성동구 성수동2가,서울 성동구,치킨18,치킨,성수,20000906,,1.417270444,-0.029375765,0.296587927,13.39289984,659.150918,0.00854920885,0.0110666925,0.005003583
4208C4C0A7,삼오***,서울 성동구 성수동2가,서울 성동구,,식품 제조,성수,20160729,,2.552637351,-0.0259615385,0.989583333,50.17147599,661.4695192,-0.00548096438,0.0184036441,0.040723827
838461E308,찐짜**,서울 성동구 성수동2가,서울 성동구,,백반/가정식,성수,20150824,,2.510441647,-0.0311804009,1.105691057,15.04981319,657.9253898,0.011986687,0.00622588799,0.007195886
E8E75C90BA,20****,서울 성동구 성수동2가,서울 성동구,,한식-해물/생선,성수,20090804,,1.865291858,-0.0292275574,1.012158055,11.45176494,659.2515658,-0.00633619599,0.0194550051,0.03479901
37FE3D6CC0,빙아********,서울 성동구 성수동2가,서울 성동구,,아이스크림/빙수,성수,20230421,,1.815648079,-0.0308788599,0.951219512,12.57942669,658.1301663,-0.00866708394,0.00585022874,0.17743307
BEFB51F3ED,뚱이***,서울 성동구 장터3길 8,서울 성동구,,한식-감자탕,금남시장,20150407,,-1.341640786,-0.0251798561,1.444444444,14.04653312,662.0003597,-0.00131544152,0.0107219162,0.0014707475
4349A8302A,롯데******,서울 성동구 장터길 23,서울 성동구,햄버거1,햄버거,금남시장,20150812,20250818,-0.201346817,-0.0268199234,1.058823529,15.46938305,660.88659,0.0100726753,0.0176677912,0.18820994
9AE54FE931,두레******,서울 성동구 장터길 25,서울 성동구,베이커리2,베이커리,금남시장,20080325,,-0.31701473,-0.0289256198,0.89212828,8.492534328,659.4566116,-0.0016501947,0.013427917,0.0020830461
4EE6AA4F0F,먹거****,서울 성동구 장터길 30,서울 성동구,,한식-육류/고기,금남시장,20110303,,-0.10720503,-0.0265151515,0.705774519,15.18187124,661.0935606,0.0482664752,0.0198817458,0.031037198
0D30BE35C0,온달***,서울 성동구 장터길 37,서울 성동구,,한식-육류/고기,금남시장,20150811,,-0.103518626,-0.0289256198,1.498956159,15.21501207,659.4566116,-0.0016501947,0.013427917,0.02914246
99A8865F14,백미*,서울 성동구 장터길 47,서울 성동구,,떡/한과 제조,금남시장,20011229,,0.0916698497,-0.0264150943,0.841463415,18.1708148,661.1615094,-0.00935990125,0.0203709579,0.0048427526
D0ECE18966,진미**,서울 성동구 장터길 47,서울 성동구,,한식-육류/고기,금남시장,20070214,,-0.178610985,-0.0177935943,1.026578073,12.1070183,667.0163701,0.00121029241,0.00134875887,0.00042234216
D333ECD384,은하*,서울 성동구 장터길 49,서울 성동구,,룸살롱/단란주점,금남시장,20050913,,-0.303239217,-0.0268199234,0.863636364,37.40775041,660.88659,0.0100726753,0.0176677912,0.014560668
C64FD46BFC,덕흥***,서울 성동구 행당로 38,서울 성동구,,축산물,행당,20001012,,-0.351983722,-0.0381679389,0.93040293,26.81451239,653.1801527,0.0531697342,0.0270548208,0.008880584
A4369EE806,비타***,서울 성동구 행당로 79,서울 성동구,,반찬,행당,20151112,,0.633750222,-0.0381679389,1.31147541,18.60237185,653.1801527,-0.0540600866,0.0234215227,0.07613471
3C97811992,강정***,서울  성동구  무수막길,서울 성동구,,치킨,신금호,20091029,,-0.418039809,-0.0454545455,0.844155844,5.807190442,648.2318182,-0.0157945919,0.0227628447,0.0016834282
1527B8DFD5,미스***,서울  성동구  무수막길,서울 성동구,치킨21,치킨,신금호,20121023,,-0.435001351,-0.0344827586,0.859259259,9.971818293,655.6827586,0.0184392915,0.00792375514,0.0024923566
224AE94A24,예*,서울  성동구  상원12길,서울 성동구,,백반/가정식,뚝섬,20121022,,0.568402081,-0.0240700219,0.84,21.61646153,662.7540481,-0.0497291698,0.0270830234,0.025625758
F1823DF685,포마***,서울 성동구 금호로 151,서울 성동구,분식19,분식,신금호,20100624,,-0.754731908,-0.0444444444,0.590909091,7.569652331,648.9177778,0.0238598102,0.0122565461,0.0009912706
1361C9B25C,사와**,서울 성동구 금호로 168,서울 성동구,,분식,신금호,20081229,,-0.77128913,-0.0458015267,1.547029703,13.63857499,647.9961832,-0.0359281437,0.0220512082,0.0055654394
0616E5FFD3,마테****,서울 성동구 금호로 17.,서울 성동구,,양식,금남시장,20150320,,-0.243794788,-0.0205479452,0.938517179,17.57498892,665.1458904,0.0112262522,0.00459485992,0.007348198
F20A9C3F30,해*,서울 성동구 금호로 17.,서울 성동구,,한식-육류/고기,금남시장,20120402,,-0.0738905461,-0.0284552846,1.101419878,19.74632851,659.7760163,0.0123307692,0.00865630037,0.025691155
E014ED20D7,유어***,서울 성동구 금호로 17.,서울 성동구,,한식-단품요리일반,금남시장,20131016,,-0.139317346,-0.028,1.621262458,27.69007592,660.0852,0.00747302905,0.0100228869,0.012398245
77E78C7C26,금호**************,서울 성동구 금호로 40.,서울 성동구,,요리주점,금남시장,20161202,,0.230892177,-0.0177935943,1.226890756,19.92887953,667.0163701,0.00121029241,0.00134875887,0.004373547
88B36E48D9,필라*******,서울 성동구 금호로 45.,서울 성동구,,룸살롱/단란주점,금남시장,20020124,,-0.303239217,-0.0278884462,1.134328358,29.67959095,660.1609562,-0.0323548127,0.0140429975,0.0021415907
69BC027D6D,만족********,서울 성동구 금호로 56.,서울 성동구,한식-육류/고기8,한식-육류/고기,금남시장,20160822,,-0.111865564,-0.0300429185,1.420142421,13.46766358,658.6978541,0.0010940919,0.000773216819,0.015569705
A7F9CAA110,대중*****,서울 성동구 금호로 66.,서울 성동구,,한식-육류/고기,신금호,20151030,,-0.784245179,-0.04,0.714151828,19.49765626,651.936,-0.0109285714,0.0149083518,0.009838051
0286E31425,장미**,서울 성동구 금호로 84.,서울 성동구,,백반/가정식,신금호,20150902,,-0.781179313,-0.0327868852,0.539345712,10.10302971,656.8344262,0.0319806504,0.0195997446,0.00091291155
C26F430D81,삼덕**,서울 성동구 금호로 86.,서울 성동구,,미곡상,신금호,20130605,,0.707106781,-0.0280373832,1.086956522,29.71775491,660.0598131,0.0247243238,0.0172692517,0.0034867397
AE28C5ED57,지코*******,서울 성동구 난계로 32.,서울 성동구,치킨27,치킨,행당,20230727,,-0.279136015,-0.0354609929,1.104347826,20.42334241,655.0184397,-0.0106190604,0.0196170803,0.029028788
572B665575,이디***********,서울 성동구 난계로 35.,서울 성동구,커피전문점6,커피전문점,행당,20161123,,-0.579644765,-0.035971223,0.874766355,11.62719824,654.6719424,-0.0179402424,0.0197321952,0.009702743
93F595E5D2,삼미**,서울 성동구 난계로 97.,서울 성동구,,한식-단품요리일반,왕십리,20150121,,1.230050586,-0.025682183,1.429463171,31.51773354,661.6592295,-0.0280551262,0.0143118193,0.0064823274
66FA72C189,지성**,서울 성동구 둘레5길 15,서울 성동구,,백반/가정식,성수,20081103,,2.510441647,-0.0311804009,1.382113821,18.97881388,657.9253898,0.011986687,0.00622588799,0.002351844
